timestamp,location-lat,location-long,x_m,y_m,speed,kappa,state
2019-06-16 13:00:06+00:00,40.03587,-105.17036,3179.496668519499,-3633.5907479156613,0.022502843590133957,0.07765537615395758,Straight
2019-06-16 13:20:08+00:00,40.03577,-105.17045,3171.8381469941824,-3644.7102405802298,0.05237325444284283,0.005572654434829583,Straight
2019-06-16 13:30:11+00:00,40.03643,-105.17026,3188.0061368821653,-3571.3215889946446,0.06616339446251766,0.0013271722456329816,Straight
2019-06-16 13:40:11+00:00,40.03646,-105.17021,3192.2608710624163,-3567.985741195557,0.045902294415409335,0.0033516748250227227,Straight
2019-06-16 13:50:11+00:00,40.03595,-105.17042,3174.3909875040645,-3624.6951537842897,0.06525017981205886,0.004631975282806353,Straight
2019-06-16 14:00:06+00:00,40.03576,-105.17031,3183.7514027008324,-3645.8221898461206,0.04795946324951789,0.010384416954268835,Straight
2019-06-16 14:10:11+00:00,40.03641,-105.17011,3200.7703394239998,-3573.545487527841,0.008636175183803772,0.8450005319029874,Straight
2019-06-16 14:20:09+00:00,40.03572,-105.17042,3174.3909875040645,-3650.269986912514,0.08804864347803831,0.056477167118796454,Straight
2019-06-16 14:30:04+00:00,40.03561,-105.17078,3143.7569014027963,-3662.5014288436805,0.5411473213135107,0.00020757221153585009,Straight
2019-06-16 14:40:11+00:00,40.0398,-105.17588,2709.774014965274,-3196.594686202652,0.5124860009922194,5.0851954845001547e-05,Straight
2019-06-16 14:50:05+00:00,40.03937,-105.17608,2692.7550782421067,-3244.408504660013,0.5811267984220019,0.00017431040520410026,Straight
2019-06-17 13:00:11+00:00,40.03578,-105.16959,3245.0195749033687,-3643.5982913136313,0.2988210904017064,0.0019112734878755841,Straight
2019-06-17 13:10:11+00:00,40.03696,-105.17328,2931.020192364286,-3512.3882778734223,0.589093127196776,0.00022018348597512775,Straight
2019-06-17 13:20:08+00:00,40.03958,-105.17625,2678.2889820277387,-3221.057570064278,0.22560257757153912,0.002209492468298359,Straight
2019-06-17 13:30:07+00:00,40.03579,-105.17049,3168.434359650198,-3642.4863420477404,0.5266570274602679,5.821453932652076e-05,Straight
2019-06-17 13:50:11+00:00,40.03636,-105.17013,3199.0684457514662,-3579.105233859418,0.011936032961790344,1.7838931025556386,Straight
2019-06-17 14:00:08+00:00,40.03575,-105.17033,3182.049509028299,-3646.934139113426,0.5274613878869006,0.00018591693366040788,Straight
2019-06-17 14:10:11+00:00,40.03965,-105.1762,2682.543716209072,-3213.2739251995044,0.07248281511672015,0.15172196852426426,Straight
2019-06-17 14:20:04+00:00,40.03652,-105.17015,3197.3665520789327,-3561.3140455966745,0.5561400078488287,0.0003297397799772801,Straight
2019-06-17 14:30:05+00:00,40.03574,-105.17025,3188.857083718432,-3648.0460883800247,0.07434670362067018,0.13499549656789223,Straight
2019-06-17 14:40:04+00:00,40.03572,-105.17023,3190.558977389883,-3650.269986912514,0.5562762462485636,0.00024500538422196177,Straight
2019-06-17 14:50:11+00:00,40.03967,-105.17618,2684.245609880523,-3211.050026666308,0.031877124599352,0.8197391892288584,Straight
2019-06-17 15:00:09+00:00,40.03602,-105.17001,3209.279807784501,-3616.911508918809,0.7344744998904068,8.87545361145176e-05,Straight
2019-06-18 13:00:11+00:00,40.03184,-105.17457,2821.2480505010467,-4081.7063022932393,0.03780565953159235,0.6145446294214685,Straight
2019-06-18 13:10:11+00:00,40.03593,-105.17053,3165.030572305132,-3626.919052316779,0.4646717319955733,0.00021550038025605305,Straight
2019-06-18 13:20:09+00:00,40.03602,-105.17095,3129.290805187346,-3616.911508918809,0.030165388620972795,0.4227144842406077,Straight
2019-06-18 13:30:07+00:00,40.0358,-105.17014,3198.2174989151995,-3641.374392780435,0.056010313883233916,0.02286118604738373,Straight
2019-06-18 13:40:04+00:00,40.03574,-105.17025,3188.857083718432,-3648.0460883800247,0.2948440557318411,0.0006431394604154886,Straight
2019-06-18 13:50:04+00:00,40.03805,-105.17308,2948.039129087453,-3391.1858078311834,0.15939466534427432,0.006662814721135854,Straight
2019-06-18 14:00:11+00:00,40.03651,-105.17226,3017.8167696515734,-3562.4259948632725,0.2827490654891602,0.00185163387080167,Straight
2019-06-18 14:10:08+00:00,40.03573,-105.17049,3168.434359650198,-3649.1580376459156,0.1707018794702836,0.006070755584913572,Straight
2019-06-18 14:20:11+00:00,40.03629,-105.16987,3221.193063491151,-3586.888878724899,0.027160468548390982,0.6704462440889761,Straight
2019-06-18 14:30:05+00:00,40.03593,-105.17021,3192.2608710624163,-3626.919052316779,0.47821200024335353,0.00017761020889812599,Straight
2019-06-18 14:40:07+00:00,40.03906,-105.17556,2737.0043137214757,-3278.878931919609,0.022838095460542388,1.504925170630239,Straight
2019-06-19 13:00:10+00:00,40.03575,-105.17043,3173.540040667798,-3646.934139113426,0.47280571007850114,0.00010572944839979818,Straight
2019-06-19 13:10:11+00:00,40.03581,-105.17042,3174.3909875040645,-3640.262443514544,0.005642772993992183,13.146968024684954,Straight
2019-06-19 13:20:11+00:00,40.03579,-105.17037,3178.6457216832323,-3642.4863420477404,0.05421001798227567,0.002048571122039367,Straight
2019-06-19 13:30:11+00:00,40.03639,-105.17032,3182.9004558645656,-3575.7693860610375,0.007000967234072105,1.5701868453863497,Straight
2019-06-19 13:50:09+00:00,40.03573,-105.17043,3173.540040667798,-3649.1580376459156,0.06639073001224295,0.007338862854211532,Straight
2019-06-19 14:00:07+00:00,40.03586,-105.16969,3236.5101065417853,-3634.7026971822597,0.05700157671521532,0.11120706418000868,Straight
